LatGridBinSize 2.0
LonGridBinSize 2.0
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG
-54 -24 33 52.72 10.0 22.22 5.1 4.2 4.59
-54 -22 3 35.0 10.0 18.33 5.0 4.7 4.87
-54 -20 2 10.0 10.0 10.0 5.0 4.5 4.75
-54 -4 2 10.0 6.0 8.0 5.6 5.2 5.4
-54 -2 12 14.25 10.0 10.35 5.3 4.2 4.78
-54 0 29 15.32 10.0 10.22 5.8 4.3 4.88
-54 2 1 17.0 17.0 17.0 6.5 6.5 6.5
-54 4 9 15.09 10.0 11.55 5.1 4.5 4.72
-54 6 14 11.0 10.0 10.07 6.2 4.5 4.99
-54 8 5 10.0 9.0 9.8 6.7 4.5 5.24
-54 18 1 10.0 10.0 10.0 5.4 5.4 5.4
-54 76 1 10.0 10.0 10.0 4.7 4.7 4.7
-54 140 14 15.0 10.0 10.41 5.4 4.1 4.53
-54 142 8 15.1 10.0 10.64 5.8 4.3 4.92
-54 144 3 10.0 7.5 9.17 5.9 4.7 5.1
-54 146 13 32.82 3.0 11.02 6.4 4.3 4.95
-54 156 2 15.65 10.0 12.82 4.5 4.3 4.4
-54 158 29 25.28 3.3 11.17 6.1 4.1 4.67
-54 164 1 11.0 11.0 11.0 4.4 4.4 4.4
-52 -146 2 10.0 10.0 10.0 4.6 4.5 4.55
-52 -136 2 10.0 10.0 10.0 4.7 4.4 4.55
-52 -134 8 10.0 10.0 10.0 5.6 4.5 4.92
-52 -132 8 15.0 10.0 10.62 5.2 4.4 4.78
-52 -118 9 15.0 10.0 11.03 5.5 4.6 4.88
-52 -116 6 10.0 10.0 10.0 5.7 4.5 5.12
-52 -74 4 15.66 12.34 14.07 4.8 4.4 4.55
-52 -72 1 14.35 14.35 14.35 4.4 4.4 4.4
-52 -70 1 10.0 10.0 10.0 4.4 4.4 4.4
-52 -58 1 10.0 10.0 10.0 4.3 4.3 4.3
-52 -54 3 11.78 10.0 10.59 7.0 4.6 5.5
-52 -52 1 14.83 14.83 14.83 6.0 6.0 6.0
-52 -48 2 10.0 10.0 10.0 5.2 4.1 4.65
-52 -46 4 10.0 10.0 10.0 5.0 4.3 4.68
-52 -44 1 10.0 10.0 10.0 4.7 4.7 4.7
-52 -32 2 10.0 5.96 7.98 5.8 5.1 5.45
-52 -26 1 10.0 10.0 10.0 4.7 4.7 4.7
-52 -24 1 10.0 10.0 10.0 4.7 4.7 4.7
-52 -20 1 10.0 10.0 10.0 4.9 4.9 4.9
