LatGridBinSize 4.0
LonGridBinSize 4.0
# Comment
# This file was generated on 2018/09/21
# Using the following query, run against the QA database:
#  select trunc(doriginlatcached/4)*4 lat, trunc(doriginloncached/4)*4 lon, count(epc.idevent) event_count, 
#         max(dorigindepthcached) max_depth, min(dorigindepthcached) min_depth, 
#         trunc(avg(dorigindepthcached)) avg_depth, 
#         round(min(dprefmagcached),1) min_mag, round(max(dprefmagcached),1) max_mag,
#         round(avg(dprefmagcached),1) avg_mag
#  from eventprefercache epc, eventtracking et
#  where epc.idevent = et.idevent
#    and et.fpubstatus > 2 /* some sort of pub */
#  --  and (doriginlatcached)  between 20 and 70
#  --  and (doriginloncached) between -160 and -100
#  group by trunc(doriginlatcached/4)*4, trunc(doriginloncached/4)*4
#  order by lat, lon
#  ;
#
# First two lines of file must be LatGridBinSize and LonGridBinSize 
# Comment lines are allowed but first character must be '#'
# Header line must be first blank line after the GridSize lines, and must start with "LAT  LON"
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG  
-36  -8    1            10         10         10         4.1      4.1      4.1      
-36  32    1            10         10         10         4.8      4.8      4.8      
-36  44    22           15.97      9.98       10         4        5.9      4.7      
-36  48    18           14.94      9.98       10         4.2      6        4.8      
-36  52    31           13.69      8.65       9          4.1      5.6      4.6      
-36  76    56           30.8       4.12       10         4.2      6.4      4.8      
-36  88    1            10         10         10         4.9      4.9      4.9      
-36  92    1            10         10         10         4.9      4.9      4.9      
-36  108   1            22.92      22.92      22         4.4      4.4      4.4      
-36  124   1            10         10         10         4.1      4.1      4.1      
-36  140   1            10         10         10         4.8      4.8      4.8      
-36  144   7            15         0          9          2.8      5.2      3.6      
-36  168   1            14.99      14.99      14         4.1      4.1      4.1      
-36  172   61           584.3      5.059      148        3.7      5.7      4.4      
-36  176   499          358.81     1          54         3.5      7        4.5      
-32  -176  1050         433.87     1          29         3.1      6.5      4.6      
-32  -172  3            15.01      10         13         4.4      4.6      4.5      
-32  -112  2            10         10         10         4.4      4.8      4.6      
-32  -108  82           34.35      9.94       11         4.4      7        4.9      
-32  -104  36           16.32      5.76       10         4.4      5.7      4.9      
-32  -100  23           18.28      9.89       10         4.5      5.6      5        
-32  -96   5            10.18      9.65       9          4.2      5.1      4.5      
-32  -92   2            10         10         10         4.4      5.3      4.8      
-32  -80   1            16.1       16.1       16         4.3      4.3      4.3      
-32  -72   472          67         0          19         2        6.9      4.3      
-32  -68   538          213.24     3.12       52         0        7.1      4.4      
-32  -64   26           200.21     7.71       68         3.7      6.3      4.4      
-32  -16   10           10         9.91       9          4.8      7        5.2      
-32  -12   27           23.88      9.97       11         4.3      5.6      4.8      
-32  0     1            10         10         10         5.6      5.6      5.6      
-32  20    1            10         10         10         4.5      4.5      4.5      
-32  52    27           17.57      9.7        10         4.2      6.1      4.7      
-32  56    31           15.66      4.63       11         4.2      5.8      4.7      
-32  72    3            14.81      9.74       11         4.5      4.6      4.6      
-32  76    34           15.47      9.99       11         4.3      5.1      4.7      
-32  104   1            10.09      10.09      10         4.6      4.6      4.6      
-32  116   1            10         10         10         5.3      5.3      5.3      
-32  120   9            15         0          4          3.9      5.2      4.4      
-32  136   9            23.93      2          11         3.2      4.6      3.8      
-32  140   1            10         10         10         4        4        4        
-32  144   1            10         10         10         3        3        3        
-32  148   7            14.28      0          5          2.5      4.2      3.4      
-32  152   1            10         10         10         3.9      3.9      3.9      
-32  176   201          483.89     1          149        3.8      6        4.4      
-28  -176  1657         470.51     0          60         3.5      7.8      4.6      
-28  -172  44           88.17      8.82       21         4        5.6      4.7      
-28  -164  1            9.98       9.98       9          4.7      4.7      4.7      
-28  -116  1            10         10         10         4.8      4.8      4.8      
-28  -112  12           14.21      4.95       9          4.5      5.9      5.2      
-28  -108  27           15.45      10         10         4.5      6        5.1      
-28  -80   1            10         10         10         4.3      4.3      4.3      
-28  -72   515          53.21      1          12         3.4      6.9      4.4      
-28  -68   1293         242.5      1          48         2.8      8.3      4.5      
-28  -64   135          187.18     10         93         3.1      5.7      4.4      
-28  -60   7            605.91     550.68     585        4.2      6.7      5.6      
-28  -12   31           14.98      3.44       9          4.2      5.5      4.7      
-28  -8    1            10         10         10         4.8      4.8      4.8      
-28  0     1            10         10         10         5.1      5.1      5.1      
-28  20    1            1          1          1          4.6      4.6      4.6      
-28  24    6            9.15       5          5          4.2      4.6      4.4      
-28  28    3            15.3       10         13         3.7      4.5      4.1      
-28  56    153          15.56      10         10         4        5.9      4.7      
-28  60    171          15.14      8.16       10         4.1      5.7      4.6      
-28  64    2            10         10         10         4.4      4.4      4.4      
-28  68    1            16.53      16.53      16         4.5      4.5      4.5      
-28  72    42           17.04      9.97       10         4.3      5.5      4.7      
-28  76    7            15.28      10         11         4.5      5        4.8      
-28  84    2            14.73      10         12         4.4      4.7      4.6      
-28  108   1            10         10         10         4.3      4.3      4.3      
-28  116   1            10         10         10         4.5      4.5      4.5      
-28  120   3            14.98      0          8          4.1      4.5      4.3      
-28  136   4            13         9          10         4        4.4      4.2      
-28  148   2            20.55      17         18         0        4.1      2        
-28  164   1            16.91      16.91      16         4.6      4.6      4.6      
-28  168   1            14.88      14.88      14         3.7      3.7      3.7      
-28  172   1            10         10         10         4.2      4.2      4.2      
-28  176   51           635.87     10         426        3.9      6        4.4      
-24  -176  779          590.71     1          242        3.7      6.1      4.6      
-24  -172  149          52.97      8.21       19         4        5.8      4.7      
-24  -168  2            10         10         10         4.4      4.4      4.4      
-24  -164  1            10.03      10.03      10         5        5        5        
-24  -140  1            10         10         10         5.2      5.2      5.2      
-24  -136  1            11.78      11.78      11         4.7      4.7      4.7      
-24  -116  6            12.28      9.93       10         4.6      5.5      4.9      
-24  -112  63           33.47      7          10         4.2      6.1      4.9      
-24  -108  8            15.03      9.43       10         4.6      6        5.3      
-24  -80   1            10         10         10         4.5      4.5      4.5      
-24  -72   3            15         10         11         4.1      4.4      4.2      
-24  -68   323          166.56     1          58         3.3      6.2      4.4      
-24  -64   514          268.54     2.83       174        3.4      5.8      4.4      
-24  -60   24           626.01     554.12     576        4        6.1      4.5      
-24  -48   1            10         10         10         3.2      3.2      3.2      
-24  -12   24           14.45      8.84       10         4.3      5.5      4.8      
